product_key,product_id,product_name,category,sub_category
1,FUR-BO-10001798,Bush Somerset Collection Bookcase,Furniture,Bookcases
2,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs
3,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,Labels
4,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Furniture,Tables
5,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage
6,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,Furnishings
7,OFF-AR-10002833,Newell 322,Office Supplies,Art
8,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Technology,Phones
9,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,Binders
10,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances
11,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Furniture,Tables
12,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Technology,Phones
13,OFF-PA-10002365,Xerox 1967,Office Supplies,Paper
14,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,Binders
15,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances
16,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,Binders
17,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,Storage
18,OFF-ST-10000107,Fellowes Super Stor/Drawer,Office Supplies,Storage
19,OFF-AR-10003056,Newell 341,Office Supplies,Art
20,TEC-PH-10001949,Cisco SPA 501G IP Phone,Technology,Phones
21,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,Binders
22,OFF-AR-10000246,Newell 318,Office Supplies,Art
23,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,Appliances
24,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Furniture,Chairs
25,OFF-BI-10001634,Wilson Jones Active Use Binders,Office Supplies,Binders
26,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,Accessories
27,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases
28,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,Binders
29,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Furnishings
30,OFF-EN-10001509,Poly String Tie Envelopes,Office Supplies,Envelopes
31,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art
