row_id,order_id,order_date,ship_date,customer_id,product_key,location_id,ship_mode_id,sales,shipping_days
1,CA-2017-152156,2017-11-08,2017-11-11,CG-12520,1,1,1,261.96,3
2,CA-2017-152156,2017-11-08,2017-11-11,CG-12520,2,1,1,731.94,3
3,CA-2017-138688,2017-06-12,2017-06-16,DV-13045,3,2,1,14.62,4
4,US-2016-108966,2016-10-11,2016-10-18,SO-20335,4,3,2,957.58,7
5,US-2016-108966,2016-10-11,2016-10-18,SO-20335,5,3,2,22.37,7
6,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,6,4,2,48.86,5
7,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,7,4,2,7.28,5
8,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,8,4,2,907.15,5
9,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,9,4,2,18.5,5
10,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,10,4,2,114.9,5
11,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,11,4,2,1706.18,5
12,CA-2015-115812,2015-06-09,2015-06-14,BH-11710,12,4,2,911.42,5
13,CA-2018-114412,2018-04-15,2018-04-20,AA-10480,13,5,2,15.55,5
14,CA-2017-161389,2017-12-05,2017-12-10,IM-15070,14,6,2,407.98,5
15,US-2016-118983,2016-11-22,2016-11-26,HP-14815,15,7,2,68.81,4
16,US-2016-118983,2016-11-22,2016-11-26,HP-14815,16,7,2,2.54,4
17,CA-2015-105893,2015-11-11,2015-11-18,PK-19075,17,8,2,665.88,7
18,CA-2015-167164,2015-05-13,2015-05-15,AG-10270,18,9,1,55.5,2
19,CA-2015-143336,2015-08-27,2015-09-01,ZD-21925,19,10,1,8.56,5
20,CA-2015-143336,2015-08-27,2015-09-01,ZD-21925,20,10,1,213.48,5
21,CA-2015-143336,2015-08-27,2015-09-01,ZD-21925,21,10,1,22.72,5
22,CA-2017-137330,2017-12-09,2017-12-13,KB-16585,22,11,2,19.46,4
23,CA-2017-137330,2017-12-09,2017-12-13,KB-16585,23,11,2,60.34,4
24,US-2018-156909,2018-07-16,2018-07-18,SF-20065,24,12,1,71.37,2
25,CA-2016-106320,2016-09-25,2016-09-30,EB-13870,4,13,2,1044.63,5
26,CA-2017-121755,2017-01-16,2017-01-20,EH-13945,25,14,1,11.65,4
27,CA-2017-121755,2017-01-16,2017-01-20,EH-13945,26,14,1,90.57,4
28,US-2016-150630,2016-09-17,2016-09-21,TB-21520,27,12,2,3083.43,4
29,US-2016-150630,2016-09-17,2016-09-21,TB-21520,28,12,2,9.62,4
30,US-2016-150630,2016-09-17,2016-09-21,TB-21520,29,12,2,124.2,4
31,US-2016-150630,2016-09-17,2016-09-21,TB-21520,30,12,2,3.26,4
32,US-2016-150630,2016-09-17,2016-09-21,TB-21520,31,12,2,86.3,4
33,US-2016-150630,2016-09-17,2016-09-21,TB-21520,32,12,2,6.86,4
34,US-2016-150630,2016-09-17,2016-09-21,TB-21520,33,12,2,15.76,4
35,CA-2018-107727,2018-10-19,2018-10-23,MA-17560,34,15,1,29.47,4
36,CA-2017-117590,2017-12-08,2017-12-10,GH-14485,35,16,3,1097.54,2
37,CA-2017-117590,2017-12-08,2017-12-10,GH-14485,36,16,3,190.92,2
38,CA-2016-117415,2016-12-27,2016-12-31,SN-20710,37,17,2,113.33,4
39,CA-2016-117415,2016-12-27,2016-12-31,SN-20710,38,17,2,532.4,4
40,CA-2016-117415,2016-12-27,2016-12-31,SN-20710,39,17,2,212.06,4
41,CA-2016-117415,2016-12-27,2016-12-31,SN-20710,40,17,2,371.17,4
42,CA-2018-120999,2018-09-10,2018-09-15,LC-16930,41,18,2,147.17,5
